Lead_ID,Created_Date,Owner,Region,Raw_Source,Product_Code,Industry,Company_Size,Deal_Stage,Last_Stage_Date,Close_Date,Expected_Value_USD,Discount_Pct,Stage_Probability,Lost_Reason,Funnel_Level
L00481,2026-06-09,Tuan Bui,Central,virtual event,CS-CLOUD,Professional Services,SMB,Closed Lost,2026-08-03,2026-08-03,24400.0,0,0.0,Competitor,4
L00482,2025-09-29,Ha Vo,North,linkedin,BI-PLUS,Professional Services,SMB,Closed Won,2025-11-30,2025-11-30,19900.0,0.1,1.0,,6
L00483,2026-08-31,Bao Tran,South,google cpc,CRM-PRO,Retail,Enterprise,New,2026-09-01,,86000.0,0.03,0.05,,1
L00484,2025-07-07,An Nguyen,South,google cpc,MKT-AUTO,Healthcare,Mid-Market,Closed Lost,2025-08-23,2025-08-23,23300.0,0,0.0,Price,4
L00485,2026-03-19,Ha Vo,North,google cpc,CS-CLOUD,Retail,Enterprise,Closed Lost,2026-04-22,2026-04-22,85200.0,0,0.0,Timing,4
L00486,2026-03-26,Tuan Bui,Central,SDR Outreach,CRM-PRO,Retail,SMB,Proposal,2026-06-23,,15600.0,0.03,0.65,,4
L00487,2025-05-17,Tuan Bui,Central,Partner Referral,BI-PLUS,Technology,SMB,Closed Lost,2025-06-15,2025-06-15,16900.0,0,0.0,Competitor,4
L00488,2026-01-28,Bao Tran,South,google cpc,CS-CLOUD,Professional Services,Mid-Market,Closed Won,2026-03-27,2026-03-27,25200.0,0.03,1.0,,6
L00489,2025-01-14,Duy Pham,South,customer referral,BI-PLUS,Education,SMB,Closed Lost,2025-02-26,2025-02-26,24600.0,0,0.0,Competitor,5
L00490,2026-05-31,Duy Pham,South,google cpc,CRM-CORE,Education,Mid-Market,Demo / Meeting,2026-07-27,,14800.0,0,0.4,,3
L00491,2025-07-07,Ha Vo,North,newsletter,CRM-PRO,Financial Services,SMB,Closed Lost,2025-08-14,2025-08-14,13000.0,0,0.0,Price,3
L00492,2026-08-11,Chi Le,South,Email Campaign,CRM-CORE,Retail,SMB,Closed Lost,2026-09-01,2026-09-01,9400.0,0,0.0,Price,3
L00493,2026-05-29,Duy Pham,South,Outbound,CRM-PRO,Retail,Enterprise,Demo / Meeting,2026-07-25,,39300.0,0,0.4,,3
L00494,2026-08-10,Minh Do,North,SEO,CRM-CORE,Technology,Mid-Market,New,2026-08-25,,15700.0,0.05,0.05,,1
L00495,2026-02-10,Duy Pham,South,google cpc,MKT-AUTO,Healthcare,Enterprise,Closed Lost,2026-03-14,2026-03-14,33900.0,0,0.0,Competitor,2
L00496,2025-05-12,Quynh Vu,North,Google Ads,REV-OPS,Financial Services,SMB,Negotiation,2026-03-03,,35900.0,0.05,0.85,,5
L00497,2025-11-28,Minh Do,North,virtual event,BI-PLUS,Professional Services,Mid-Market,Closed Lost,2025-12-28,2025-12-28,45500.0,0,0.0,Budget,5
L00498,2025-04-09,Bao Tran,South,Cold Email,REV-OPS,Education,SMB,Closed Lost,2025-04-26,2025-04-26,42700.0,0,0.0,Timing,4
L00499,2026-04-21,An Nguyen,South,Google Ads,CRM-PRO,Education,Enterprise,Closed Lost,2026-06-07,2026-06-07,74500.0,0,0.0,Price,3
L00500,2025-11-29,Chi Le,South,newsletter,CRM-CORE,Manufacturing,SMB,Negotiation,2026-07-22,,6400.0,0.03,0.85,,5
L00501,2025-04-17,Tuan Bui,Central,linkedin,MKT-AUTO,Education,Mid-Market,Closed Lost,2025-06-02,2025-06-02,25700.0,0,0.0,No Decision,3
L00502,2026-05-02,Tuan Bui,Central,google cpc,BI-PLUS,Technology,Mid-Market,Closed Lost,2026-05-21,2026-05-21,48500.0,0,0.0,Timing,3
L00503,2025-03-23,An Nguyen,South,SEM - Google,BI-PLUS,Technology,Mid-Market,Closed Won,2025-05-05,2025-05-05,31800.0,0.05,1.0,,6
L00504,2025-10-29,Tuan Bui,Central,google cpc,REV-OPS,Manufacturing,SMB,Closed Lost,2025-12-05,2025-12-05,39700.0,0,0.0,Feature Gap,5
L00505,2025-10-24,Duy Pham,South,Google Ads,CRM-CORE,Financial Services,Mid-Market,Closed Lost,2025-11-25,2025-11-25,12700.0,0,0.0,No Decision,5
L00506,2026-07-22,Minh Do,North,Email Campaign,MKT-AUTO,Professional Services,Enterprise,Closed Won,2026-09-01,2026-09-01,45700.0,0.12,1.0,,6
L00507,2025-09-18,Duy Pham,South,Google Organic,BI-PLUS,Manufacturing,Enterprise,Closed Lost,2025-12-26,2025-12-26,50300.0,0,0.0,Budget,3
L00508,2025-06-22,Chi Le,South,google cpc,CRM-PRO,Healthcare,Mid-Market,Closed Lost,2025-08-05,2025-08-05,42300.0,0,0.0,Price,4
L00509,2025-07-26,Minh Do,North,newsletter,CRM-CORE,Financial Services,Mid-Market,Closed Lost,2025-09-05,2025-09-05,18600.0,0,0.0,Feature Gap,4
L00510,2026-07-14,Bao Tran,South,newsletter,CS-CLOUD,Professional Services,SMB,Closed Lost,2026-09-01,2026-09-01,13000.0,0,0.0,Price,4
L00511,2026-07-23,Minh Do,North,SEO,CRM-PRO,Financial Services,SMB,Closed Lost,2026-09-01,2026-09-01,16600.0,0,0.0,Competitor,4
L00512,2025-04-18,Minh Do,North,LinkedIn Ads,REV-OPS,Manufacturing,Mid-Market,Closed Won,2025-05-06,2025-05-06,74500.0,0.12,1.0,,6
L00513,2026-07-22,An Nguyen,South,Referral,MKT-AUTO,Education,Mid-Market,Qualified,2026-08-26,,17000.0,0,0.2,,2
L00514,2025-09-16,Duy Pham,South,Google Ads,MKT-AUTO,Manufacturing,SMB,Closed Lost,2025-12-05,2025-12-05,12600.0,0,0.0,Competitor,3
L00515,2026-03-25,Quynh Vu,North,Partner Referral,CRM-CORE,Manufacturing,SMB,Closed Lost,2026-04-07,2026-04-07,5000.0,0,0.0,No Decision,2
L00516,2026-06-23,Bao Tran,South,customer referral,CS-CLOUD,Financial Services,SMB,Demo / Meeting,2026-08-19,,13600.0,0,0.4,,3
L00517,2026-02-15,Chi Le,South,virtual event,REV-OPS,Education,SMB,Closed Lost,2026-03-07,2026-03-07,42000.0,0,0.0,Competitor,4
L00518,2025-05-05,Bao Tran,South,LI Ads,CRM-CORE,Education,Mid-Market,Closed Lost,2025-05-30,2025-05-30,9800.0,0,0.0,Competitor,4
L00519,2025-12-23,An Nguyen,South,SEO,MKT-AUTO,Financial Services,SMB,Negotiation,2026-04-08,,13400.0,0.05,0.85,,5
L00520,2026-02-18,Minh Do,North,LI Ads,CRM-PRO,Professional Services,SMB,Closed Won,2026-04-10,2026-04-10,14800.0,0.05,1.0,,6
L00521,2025-09-15,Bao Tran,South,Partner Referral,MKT-AUTO,Retail,SMB,Closed Won,2025-10-24,2025-10-24,14800.0,0,1.0,,6
L00522,2026-07-30,Quynh Vu,North,Google Organic,CS-CLOUD,Manufacturing,Mid-Market,Qualified,2026-08-22,,37900.0,0.03,0.2,,2
L00523,2026-03-27,Bao Tran,South,LinkedIn Ads,REV-OPS,Professional Services,Mid-Market,Closed Lost,2026-04-21,2026-04-21,82900.0,0,0.0,Timing,2
L00524,2025-05-25,Chi Le,South,Cold Email,REV-OPS,Professional Services,SMB,Closed Won,2025-07-25,2025-07-25,20900.0,0.03,1.0,,6
L00525,2025-09-24,Chi Le,South,customer referral,CRM-CORE,Professional Services,SMB,Closed Lost,2025-11-04,2025-11-04,8600.0,0,0.0,Price,3
L00526,2026-07-03,Minh Do,North,LI Ads,CRM-PRO,Professional Services,SMB,Closed Lost,2026-08-01,2026-08-01,11200.0,0,0.0,Timing,3
L00527,2025-05-12,Duy Pham,South,Conference Scan,MKT-AUTO,Healthcare,Mid-Market,Closed Lost,2025-07-03,2025-07-03,36100.0,0,0.0,Budget,4
L00528,2025-04-26,Bao Tran,South,SEM - Google,BI-PLUS,Professional Services,Enterprise,Closed Lost,2025-06-20,2025-06-20,82600.0,0,0.0,Price,2
L00529,2025-03-14,Duy Pham,South,Email Campaign,MKT-AUTO,Healthcare,SMB,Closed Won,2025-03-26,2025-03-26,8800.0,0.05,1.0,,6
L00530,2025-03-07,Tuan Bui,Central,email nurture,CS-CLOUD,Manufacturing,SMB,Negotiation,2025-11-05,,11900.0,0.05,0.85,,5
L00531,2025-04-21,Chi Le,South,Webinar,REV-OPS,Education,SMB,Closed Lost,2025-05-23,2025-05-23,38400.0,0,0.0,Timing,4
L00532,2025-04-01,Ha Vo,North,newsletter,MKT-AUTO,Manufacturing,Enterprise,Closed Lost,2025-06-16,2025-06-16,61300.0,0,0.0,No Decision,5
L00533,2025-06-06,Duy Pham,South,SEM - Google,BI-PLUS,Technology,SMB,Negotiation,2026-05-13,,20100.0,0.03,0.85,,5
L00534,2025-04-10,Chi Le,South,organic search,MKT-AUTO,Manufacturing,Mid-Market,Closed Lost,2025-06-05,2025-06-05,37500.0,0,0.0,Budget,3
L00535,2026-05-16,Tuan Bui,Central,LI Ads,REV-OPS,Financial Services,SMB,Closed Won,2026-07-24,2026-07-24,29700.0,0.05,1.0,,6
L00536,2025-05-31,Chi Le,South,linkedin,CRM-CORE,Education,Mid-Market,Closed Lost,2025-07-26,2025-07-26,13800.0,0,0.0,No Decision,2
L00537,2026-07-14,Minh Do,North,Partner Referral,CRM-PRO,Healthcare,SMB,Closed Won,2026-08-07,2026-08-07,13400.0,0.05,1.0,,6
L00538,2025-09-23,Tuan Bui,Central,Email Campaign,MKT-AUTO,Healthcare,Enterprise,Closed Lost,2025-11-26,2025-11-26,70300.0,0,0.0,Price,2
L00539,2026-02-05,Chi Le,South,LinkedIn Ads,BI-PLUS,Retail,Mid-Market,Closed Lost,2026-03-12,2026-03-12,33200.0,0,0.0,Price,3
L00540,2026-02-28,Quynh Vu,North,google cpc,REV-OPS,Professional Services,SMB,Negotiation,2026-07-27,,35500.0,0.05,0.85,,5
L00541,2025-10-07,An Nguyen,South,virtual event,CRM-PRO,Technology,SMB,Closed Won,2025-11-20,2025-11-20,17900.0,0.05,1.0,,6
L00542,2026-04-02,Bao Tran,South,Conference Scan,CRM-PRO,Financial Services,SMB,Closed Won,2026-05-03,2026-05-03,17200.0,0.1,1.0,,6
L00543,2026-03-12,Minh Do,North,Cold Email,CRM-PRO,Professional Services,SMB,Closed Lost,2026-04-27,2026-04-27,15500.0,0,0.0,Budget,4
L00544,2025-01-26,Tuan Bui,Central,Conference Scan,REV-OPS,Education,Enterprise,Closed Lost,2025-02-16,2025-02-16,77800.0,0,0.0,Competitor,5
L00545,2025-08-20,Minh Do,North,Google Ads,CRM-CORE,Healthcare,Enterprise,Closed Lost,2025-09-15,2025-09-15,34400.0,0,0.0,Feature Gap,4
L00546,2026-05-24,Bao Tran,South,Google Ads,CS-CLOUD,Education,SMB,Closed Lost,2026-06-16,2026-06-16,22600.0,0,0.0,Competitor,3
L00547,2026-05-29,Ha Vo,North,Referral,CRM-PRO,Professional Services,SMB,Demo / Meeting,2026-08-04,,19800.0,0,0.4,,3
L00548,2025-07-03,Chi Le,South,Partner Referral,CRM-PRO,Financial Services,Enterprise,Closed Won,2025-09-03,2025-09-03,80800.0,0.08,1.0,,6
L00549,2025-02-18,Duy Pham,South,newsletter,REV-OPS,Healthcare,SMB,Closed Lost,2025-02-26,2025-02-26,20900.0,0,0.0,Price,3
L00550,2026-05-02,Minh Do,North,linkedin,CRM-PRO,Healthcare,Mid-Market,Closed Lost,2026-07-24,2026-07-24,43200.0,0,0.0,Price,4
L00551,2026-06-10,Tuan Bui,Central,Google Ads,CRM-CORE,Professional Services,SMB,Qualified,2026-08-03,,7100.0,0.03,0.2,,2
L00552,2026-06-07,Minh Do,North,SEO,CRM-CORE,Technology,Mid-Market,Closed Lost,2026-07-23,2026-07-23,16000.0,0,0.0,Competitor,3
L00553,2026-05-21,Minh Do,North,Partner Referral,CRM-CORE,Technology,Enterprise,Closed Won,2026-07-06,2026-07-06,31000.0,0.12,1.0,,6
L00554,2026-04-12,Minh Do,North,Google Ads,CRM-CORE,Manufacturing,SMB,Closed Lost,2026-06-12,2026-06-12,9800.0,0,0.0,Timing,5
L00555,2026-04-08,Tuan Bui,Central,linkedin,CRM-PRO,Healthcare,SMB,Closed Won,2026-06-10,2026-06-10,24600.0,0.08,1.0,,6
L00556,2026-03-20,Ha Vo,North,google cpc,MKT-AUTO,Professional Services,Mid-Market,Closed Lost,2026-05-13,2026-05-13,31000.0,0,0.0,Price,3
L00557,2026-04-26,Chi Le,South,linkedin,CRM-PRO,Manufacturing,Mid-Market,Closed Lost,2026-06-02,2026-06-02,22700.0,0,0.0,Timing,4
L00558,2025-08-05,Duy Pham,South,email nurture,CRM-CORE,Healthcare,SMB,Closed Lost,2025-08-14,2025-08-14,5800.0,0,0.0,Price,5
L00559,2026-03-02,Minh Do,North,organic search,BI-PLUS,Professional Services,SMB,Closed Lost,2026-04-16,2026-04-16,18400.0,0,0.0,Competitor,2
L00560,2026-05-30,Chi Le,South,SEO,CRM-PRO,Technology,Mid-Market,Closed Lost,2026-06-24,2026-06-24,19300.0,0,0.0,Price,3
L00561,2025-01-23,Ha Vo,North,Referral,REV-OPS,Technology,Mid-Market,Closed Lost,2025-03-07,2025-03-07,57100.0,0,0.0,Price,3
L00562,2026-01-16,Chi Le,South,Google Ads,CRM-PRO,Healthcare,SMB,Closed Lost,2026-02-17,2026-02-17,22000.0,0,0.0,No Decision,4
L00563,2025-08-21,Duy Pham,South,SEO,CS-CLOUD,Technology,Enterprise,Closed Lost,2025-10-02,2025-10-02,81600.0,0,0.0,No Decision,4
L00564,2025-02-22,Bao Tran,South,google cpc,REV-OPS,Retail,SMB,Closed Lost,2025-05-09,2025-05-09,26100.0,0,0.0,No Decision,5
L00565,2025-10-10,Ha Vo,North,Cold Email,MKT-AUTO,Technology,SMB,Closed Won,2025-12-23,2025-12-23,8800.0,0,1.0,,6
L00566,2026-02-27,Minh Do,North,Unknown Event,BI-PLUS,Manufacturing,SMB,Closed Lost,2026-05-22,2026-05-22,15600.0,0,0.0,Price,2
L00567,2025-12-06,An Nguyen,South,Google Organic,CRM-PRO,Manufacturing,SMB,Closed Lost,2026-01-27,2026-01-27,23600.0,0,0.0,Budget,3
L00568,2025-10-17,Ha Vo,North,Google Ads,CRM-PRO,Retail,SMB,Closed Won,2025-10-29,2025-10-29,11300.0,0.08,1.0,,6
L00569,2026-01-23,Chi Le,South,Email Campaign,MKT-AUTO,Education,SMB,Negotiation,2026-05-25,,12800.0,0.05,0.85,,5
L00570,2026-06-12,Chi Le,South,LinkedIn Ads,REV-OPS,Financial Services,SMB,Closed Lost,2026-08-04,2026-08-04,25600.0,0,0.0,No Decision,4
L00571,2026-05-06,Chi Le,South,Referral,MKT-AUTO,Financial Services,Mid-Market,Proposal,2026-06-17,,32400.0,0,0.65,,4
L00572,2026-03-17,Minh Do,North,SEM - Google,CRM-PRO,Education,SMB,Closed Lost,2026-05-08,2026-05-08,20700.0,0,0.0,Timing,2
L00573,2025-12-19,Bao Tran,South,LinkedIn Ads,BI-PLUS,Education,Mid-Market,Closed Lost,2026-01-27,2026-01-27,24500.0,0,0.0,Budget,3
L00574,2025-04-14,Ha Vo,North,Offline List,REV-OPS,Education,Mid-Market,Closed Lost,2025-06-03,2025-06-03,77900.0,0,0.0,Price,4
L00575,2025-12-26,Minh Do,North,organic search,CRM-PRO,Retail,Enterprise,Closed Lost,2026-02-11,2026-02-11,60000.0,0,0.0,No Decision,4
L00576,2026-07-26,Chi Le,South,Conference Scan,CS-CLOUD,Retail,SMB,New,2026-08-22,,12000.0,0.03,0.05,,1
L00577,2026-05-04,Chi Le,South,Cold Email,MKT-AUTO,Retail,SMB,Closed Lost,2026-05-19,2026-05-19,14300.0,0,0.0,Timing,5
L00578,2025-04-22,Minh Do,North,Cold Email,CRM-PRO,Financial Services,SMB,Closed Won,2025-07-01,2025-07-01,11800.0,0.12,1.0,,6
L00579,2025-11-11,Ha Vo,North,Google Organic,CRM-CORE,Manufacturing,Mid-Market,Closed Lost,2025-12-19,2025-12-19,9600.0,0,0.0,Budget,3
L00580,2025-07-06,Tuan Bui,Central,Google Organic,CS-CLOUD,Education,Mid-Market,Closed Lost,2025-08-01,2025-08-01,49700.0,0,0.0,No Decision,5
L00581,2026-03-14,Bao Tran,South,Google Organic,CRM-CORE,Retail,SMB,Closed Won,2026-04-29,2026-04-29,7000.0,0.08,1.0,,6
L00582,2025-04-26,Minh Do,North,Referral,CS-CLOUD,Financial Services,SMB,Closed Lost,2025-06-22,2025-06-22,21800.0,0,0.0,Budget,4
L00583,2025-05-19,Duy Pham,South,Partner Referral,REV-OPS,Technology,SMB,Closed Lost,2025-06-08,2025-06-08,31100.0,0,0.0,Price,3
L00584,2025-07-05,An Nguyen,South,Cold Email,CRM-PRO,Manufacturing,SMB,Closed Lost,2025-09-03,2025-09-03,23700.0,0,0.0,Price,3
L00585,2026-08-19,Bao Tran,South,Email Campaign,BI-PLUS,Manufacturing,Mid-Market,Closed Won,2026-09-01,2026-09-01,41900.0,0.1,1.0,,6
L00586,2026-04-28,Ha Vo,North,Unknown Event,REV-OPS,Financial Services,Mid-Market,Closed Lost,2026-06-27,2026-06-27,74400.0,0,0.0,Budget,3
L00587,2025-12-14,An Nguyen,South,organic search,MKT-AUTO,Education,SMB,Closed Won,2026-03-23,2026-03-23,16400.0,0.08,1.0,,6
L00588,2025-08-19,Bao Tran,South,SDR Outreach,BI-PLUS,Financial Services,SMB,Closed Lost,2025-10-04,2025-10-04,12700.0,0,0.0,Competitor,3
L00589,2026-07-12,Quynh Vu,North,LI Ads,CS-CLOUD,Healthcare,Mid-Market,Qualified,2026-08-08,,26300.0,0,0.2,,2
L00590,2025-01-30,Duy Pham,South,Unknown Event,BI-PLUS,Financial Services,Mid-Market,Closed Lost,2025-02-25,2025-02-25,54300.0,0,0.0,Price,4
L00591,2025-06-18,Minh Do,North,LI Ads,REV-OPS,Technology,Mid-Market,Closed Won,2025-08-17,2025-08-17,59700.0,0.05,1.0,,6
L00592,2026-08-09,An Nguyen,South,customer referral,CS-CLOUD,Education,Mid-Market,Qualified,2026-08-24,,48500.0,0.03,0.2,,2
L00593,2026-03-22,An Nguyen,South,SEM - Google,CRM-CORE,Technology,Enterprise,Closed Won,2026-06-04,2026-06-04,23600.0,0.12,1.0,,6
L00594,2025-06-02,An Nguyen,South,Google Organic,REV-OPS,Retail,SMB,Closed Lost,2025-07-10,2025-07-10,41300.0,0,0.0,Budget,2
L00595,2025-05-11,Quynh Vu,North,email nurture,CRM-CORE,Education,Mid-Market,Closed Won,2025-05-23,2025-05-23,12100.0,0.05,1.0,,6
L00596,2025-03-16,Bao Tran,South,SEM - Google,CRM-PRO,Retail,Enterprise,Closed Lost,2025-04-26,2025-04-26,39200.0,0,0.0,Competitor,5
L00597,2025-11-26,Minh Do,North,LinkedIn Ads,REV-OPS,Education,Enterprise,Closed Lost,2025-12-30,2025-12-30,114300.0,0,0.0,Price,4
L00598,2026-05-01,Duy Pham,South,LinkedIn Ads,REV-OPS,Technology,SMB,Closed Lost,2026-06-23,2026-06-23,27400.0,0,0.0,Competitor,3
L00599,2025-04-18,Minh Do,North,customer referral,CRM-CORE,Professional Services,Enterprise,Closed Lost,2025-06-01,2025-06-01,27900.0,0,0.0,No Decision,3
L00600,2025-09-06,Tuan Bui,Central,email nurture,CRM-CORE,Professional Services,Mid-Market,Closed Lost,2025-10-19,2025-10-19,16100.0,0,0.0,No Decision,5
L00601,2025-02-16,Tuan Bui,Central,Google Ads,CRM-PRO,Professional Services,SMB,Closed Lost,2025-03-09,2025-03-09,22100.0,0,0.0,Competitor,4
L00602,2025-11-04,Chi Le,South,newsletter,MKT-AUTO,Retail,SMB,Closed Lost,2025-12-26,2025-12-26,11700.0,0,0.0,No Decision,2
L00603,2025-08-06,Ha Vo,North,Referral,CRM-PRO,Retail,SMB,Closed Lost,2025-08-17,2025-08-17,15900.0,0,0.0,Feature Gap,4
L00604,2025-12-03,Ha Vo,North,google cpc,CRM-CORE,Healthcare,Mid-Market,Closed Lost,2026-01-26,2026-01-26,13900.0,0,0.0,Competitor,3
L00605,2025-06-08,Minh Do,North,Cold Email,CS-CLOUD,Professional Services,SMB,Closed Lost,2025-07-16,2025-07-16,22600.0,0,0.0,Price,2
L00606,2026-02-13,Minh Do,North,google cpc,CS-CLOUD,Manufacturing,SMB,Closed Lost,2026-04-01,2026-04-01,27800.0,0,0.0,No Decision,3
L00607,2026-07-03,Tuan Bui,Central,customer referral,CRM-CORE,Professional Services,Enterprise,Closed Lost,2026-08-01,2026-08-01,21200.0,0,0.0,Price,2
L00608,2025-08-16,Bao Tran,South,Email Campaign,MKT-AUTO,Education,SMB,Closed Lost,2025-09-15,2025-09-15,20600.0,0,0.0,Budget,4
L00609,2025-07-09,Bao Tran,South,LI Ads,REV-OPS,Manufacturing,Mid-Market,Negotiation,2026-07-16,,81400.0,0,0.85,,5
L00610,2026-07-30,Duy Pham,South,Google Ads,CRM-PRO,Technology,SMB,Qualified,2026-08-15,,22300.0,0,0.2,,2
L00611,2025-02-13,Tuan Bui,Central,linkedin,CRM-CORE,Technology,SMB,Closed Lost,2025-04-09,2025-04-09,8300.0,0,0.0,No Decision,4
L00612,2025-03-07,Bao Tran,South,Outbound,CS-CLOUD,Professional Services,Mid-Market,Closed Lost,2025-04-22,2025-04-22,43900.0,0,0.0,Feature Gap,2
L00613,2025-11-28,An Nguyen,South,LI Ads,BI-PLUS,Financial Services,Enterprise,Closed Lost,2026-01-22,2026-01-22,54300.0,0,0.0,No Decision,2
L00614,2026-02-25,Minh Do,North,google cpc,CRM-CORE,Financial Services,Mid-Market,Closed Lost,2026-04-25,2026-04-25,14300.0,0,0.0,No Decision,4
L00615,2025-10-15,Bao Tran,South,organic search,CRM-CORE,Healthcare,Mid-Market,Closed Lost,2025-12-15,2025-12-15,13200.0,0,0.0,No Decision,5
L00616,2025-05-14,An Nguyen,South,SEO,CRM-CORE,Education,SMB,Closed Won,2025-08-01,2025-08-01,8300.0,0.05,1.0,,6
L00617,2025-04-10,Tuan Bui,Central,google cpc,REV-OPS,Professional Services,Enterprise,Negotiation,2026-04-14,,136400.0,0.03,0.85,,5
L00618,2025-04-04,Duy Pham,South,google cpc,CRM-PRO,Financial Services,Mid-Market,Closed Lost,2025-05-20,2025-05-20,39500.0,0,0.0,Timing,2
L00619,2026-07-25,Quynh Vu,North,Referral,BI-PLUS,Financial Services,SMB,Qualified,2026-08-11,,29900.0,0,0.2,,2
L00620,2026-06-29,Minh Do,North,Outbound,CRM-CORE,Manufacturing,Enterprise,Closed Won,2026-09-01,2026-09-01,25500.0,0,1.0,,6
L00621,2025-05-24,Quynh Vu,North,customer referral,CS-CLOUD,Healthcare,Mid-Market,Closed Won,2025-07-19,2025-07-19,25300.0,0,1.0,,6
L00622,2026-04-28,An Nguyen,South,linkedin,BI-PLUS,Retail,SMB,Proposal,2026-08-08,,19900.0,0.03,0.65,,4
L00623,2026-03-16,An Nguyen,South,SEO,MKT-AUTO,Education,Mid-Market,Closed Won,2026-05-20,2026-05-20,21200.0,0.03,1.0,,6
L00624,2026-01-31,An Nguyen,South,google cpc,CRM-PRO,Retail,Enterprise,Closed Lost,2026-02-22,2026-02-22,54300.0,0,0.0,No Decision,2
L00625,2025-04-04,Quynh Vu,North,organic search,CRM-PRO,Retail,SMB,Closed Lost,2025-06-12,2025-06-12,21000.0,0,0.0,No Decision,3
L00626,2026-01-29,Tuan Bui,Central,Partner Referral,MKT-AUTO,Professional Services,Mid-Market,Closed Lost,2026-03-08,2026-03-08,17200.0,0,0.0,Feature Gap,4
L00627,2025-07-17,Duy Pham,South,SEO,CRM-PRO,Retail,Mid-Market,Closed Lost,2025-08-26,2025-08-26,20000.0,0,0.0,Budget,4
L00628,2025-07-07,Chi Le,South,Email Campaign,MKT-AUTO,Education,SMB,Negotiation,2026-04-05,,16700.0,0,0.85,,5
L00629,2026-05-10,Quynh Vu,North,email nurture,CRM-PRO,Technology,Mid-Market,Closed Lost,2026-05-29,2026-05-29,40400.0,0,0.0,Budget,3
L00630,2025-06-07,Ha Vo,North,Partner Referral,MKT-AUTO,Retail,SMB,Negotiation,2026-03-31,,17900.0,0.05,0.85,,5
L00631,2025-09-10,Ha Vo,North,newsletter,MKT-AUTO,Education,Enterprise,Closed Lost,2025-10-17,2025-10-17,44100.0,0,0.0,Budget,4
L00632,2025-01-15,Minh Do,North,SEM - Google,CRM-CORE,Technology,Mid-Market,Closed Lost,2025-02-15,2025-02-15,14500.0,0,0.0,Feature Gap,3
L00633,2025-10-03,Chi Le,South,SEO,CS-CLOUD,Manufacturing,Mid-Market,Closed Lost,2025-11-14,2025-11-14,21100.0,0,0.0,Price,4
L00634,2025-04-24,Tuan Bui,Central,Referral,REV-OPS,Manufacturing,Mid-Market,Closed Won,2025-05-06,2025-05-06,39200.0,0.03,1.0,,6
L00635,2025-12-21,Chi Le,South,virtual event,CRM-PRO,Financial Services,SMB,Closed Won,2026-02-17,2026-02-17,16700.0,0,1.0,,6
L00636,2026-02-18,Chi Le,South,Webinar,BI-PLUS,Retail,SMB,Closed Lost,2026-04-11,2026-04-11,15300.0,0,0.0,Competitor,4
L00637,2025-04-03,Minh Do,North,LinkedIn Ads,BI-PLUS,Professional Services,Enterprise,Closed Lost,2025-04-11,2025-04-11,99800.0,0,0.0,Timing,5
L00638,2025-06-01,Chi Le,South,Google Ads,CRM-CORE,Technology,Enterprise,Negotiation,2026-01-26,,17000.0,0,0.85,,5
L00639,2025-09-14,Ha Vo,North,google cpc,BI-PLUS,Technology,SMB,Closed Lost,2025-10-24,2025-10-24,30200.0,0,0.0,Price,4
L00640,2026-01-14,Tuan Bui,Central,organic search,CRM-PRO,Retail,Mid-Market,Closed Lost,2026-02-23,2026-02-23,35600.0,0,0.0,No Decision,5
L00641,2025-06-08,Quynh Vu,North,google cpc,CRM-CORE,Retail,Enterprise,Closed Lost,2025-07-31,2025-07-31,27700.0,0,0.0,Budget,4
L00642,2025-01-12,Chi Le,South,Email Campaign,REV-OPS,Education,Mid-Market,Negotiation,2026-04-10,,73300.0,0.03,0.85,,5
L00643,2026-03-29,Duy Pham,South,google cpc,CRM-CORE,Healthcare,SMB,Closed Lost,2026-04-20,2026-04-20,8900.0,0,0.0,Price,3
L00644,2025-10-30,Minh Do,North,Cold Email,MKT-AUTO,Manufacturing,Mid-Market,Closed Lost,2025-12-14,2025-12-14,35400.0,0,0.0,No Decision,4
L00645,2025-10-27,Tuan Bui,Central,newsletter,CRM-PRO,Manufacturing,SMB,Closed Lost,2025-12-19,2025-12-19,20700.0,0,0.0,Feature Gap,4
L00646,2025-03-27,Ha Vo,North,SEM - Google,CRM-CORE,Technology,Mid-Market,Closed Lost,2025-05-11,2025-05-11,10200.0,0,0.0,Price,4
L00647,2025-01-01,Bao Tran,South,SDR Outreach,CRM-PRO,Retail,Mid-Market,Closed Won,2025-03-12,2025-03-12,29500.0,0.03,1.0,,6
L00648,2025-03-12,Quynh Vu,North,customer referral,REV-OPS,Healthcare,Mid-Market,Closed Lost,2025-05-03,2025-05-03,72200.0,0,0.0,Price,3
L00649,2025-05-18,Tuan Bui,Central,newsletter,CRM-CORE,Healthcare,SMB,Closed Lost,2025-06-13,2025-06-13,5900.0,0,0.0,Budget,2
L00650,2025-04-02,Bao Tran,South,Cold Email,MKT-AUTO,Manufacturing,Enterprise,Closed Lost,2025-05-26,2025-05-26,69000.0,0,0.0,Price,3
L00651,2025-07-02,Duy Pham,South,Outbound,MKT-AUTO,Manufacturing,Enterprise,Closed Lost,2025-08-15,2025-08-15,70600.0,0,0.0,Price,5
L00652,2026-06-16,Tuan Bui,Central,Google Organic,CS-CLOUD,Retail,Mid-Market,Closed Lost,2026-09-01,2026-09-01,50100.0,0,0.0,Budget,5
