learner_id,age,prior_score,prior_courses,weekly_hours,videos_watched,assignments_done,quiz_avg,forum_posts,logins_per_week,support_tickets,days_since_signup,signup_hour,plan,device,region,email_verified,completed
L10278,47,50.5,0,5.84,21,4,38.2,4,2.2,1,78,6,basic,desktop,East,no,no
L10279,44,34.9,1,16.17,23,10,47.7,1,4.5,0,76,9,basic,desktop,East,yes,yes
L10280,47,84.5,1,5.54,22,9,41.1,3,5.5,1,6,9,free,desktop,East,no,no
L10281,38,65.3,4,0.54,12,3,62.1,1,3.4,2,33,1,basic,mobile,North,yes,no
L10282,41,68.2,4,14.45,13,2,65.6,3,7.4,1,35,19,free,mobile,South,yes,yes
L10283,38,71.2,2,2.59,19,6,53.6,3,4.1,0,81,10,premium,mobile,South,no,yes
L10284,26,59.0,1,5.51,19,1,74.8,1,6.0,0,32,16,basic,desktop,East,yes,no
L10285,58,63.0,0,6.5,23,0,69.8,3,3.0,0,78,18,premium,desktop,West,yes,yes
L10286,35,62.2,3,1.58,17,10,60.5,2,3.0,1,103,9,free,desktop,West,yes,no
L10287,25,83.8,3,3.79,12,6,100.0,2,4.7,2,62,18,free,mobile,West,yes,yes
L10288,24,69.7,3,9.99,23,7,44.0,3,3.7,0,12,21,basic,mobile,North,yes,yes
L10289,19,48.8,1,2.15,19,1,44.5,3,4.8,1,86,20,free,mobile,South,yes,no
L10290,45,64.3,3,5.38,18,7,55.3,4,3.3,0,90,7,basic,desktop,North,yes,no
L10291,50,46.9,2,2.54,21,7,69.0,3,2.1,1,117,2,basic,mobile,West,no,no
L10292,27,59.4,1,1.6,15,2,53.0,5,8.5,2,95,13,free,mobile,East,yes,no
L10293,53,66.3,4,0.49,24,8,54.6,2,4.5,0,65,14,free,desktop,North,yes,yes
L10294,22,57.8,0,6.77,13,9,46.0,3,2.9,0,63,22,basic,mobile,West,yes,no
L10295,32,74.7,2,3.95,16,4,53.4,1,2.5,2,102,21,basic,desktop,North,yes,no
L10296,59,62.8,2,1.55,22,0,47.7,4,4.1,1,107,1,premium,mobile,West,yes,no
L10297,21,66.0,4,3.19,20,9,44.2,3,5.1,1,107,14,basic,desktop,North,no,no
L10298,40,55.5,0,3.93,12,5,28.8,3,7.9,1,72,8,free,desktop,South,yes,no
L10299,43,79.4,0,6.13,15,9,48.3,4,3.6,0,88,14,free,mobile,South,yes,yes
L10300,25,69.3,2,8.62,19,6,26.1,3,2.4,1,47,21,free,tablet,West,yes,no
L10301,49,57.4,3,4.27,19,7,66.9,4,1.7,0,18,17,free,mobile,North,yes,yes
L10302,24,86.0,4,2.82,19,4,22.7,3,7.9,0,17,8,basic,mobile,West,yes,yes
L10303,49,66.9,3,2.97,23,8,60.1,1,4.6,2,94,20,premium,desktop,East,yes,yes
L10304,21,92.4,1,3.72,15,10,68.7,3,7.4,0,18,5,free,mobile,South,yes,yes
L10305,29,44.4,3,3.19,20,5,49.8,5,3.1,0,72,14,free,mobile,North,yes,no
L10306,18,48.9,1,1.52,19,6,37.8,1,6.1,1,58,5,free,desktop,West,yes,no
L10307,28,61.2,0,6.47,20,8,56.1,4,7.3,0,52,10,premium,desktop,East,yes,yes
L10308,17,74.8,5,2.01,9,2,39.0,4,4.9,0,115,6,free,mobile,North,yes,no
L10309,55,96.1,0,2.81,24,9,52.1,4,2.9,0,43,2,basic,desktop,West,yes,yes
L10310,46,70.7,3,3.81,17,9,58.3,2,4.4,0,47,18,free,desktop,West,yes,no
L10311,47,68.3,4,1.2,14,1,61.0,1,5.8,1,93,0,free,mobile,North,yes,no
L10312,38,59.8,2,0.81,19,9,40.7,5,5.7,1,22,18,basic,mobile,South,yes,no
L10313,56,37.6,0,3.83,25,10,64.4,2,4.1,1,52,17,basic,desktop,West,no,no
L10314,31,53.0,0,4.02,9,2,59.8,4,2.6,0,97,8,free,mobile,North,yes,no
L10315,24,45.6,3,7.92,23,0,75.6,4,1.8,0,16,1,premium,mobile,East,yes,no
L10316,19,74.8,5,7.16,18,8,39.7,3,0.4,2,113,2,basic,mobile,West,yes,yes
L10317,32,73.3,4,5.61,20,7,59.6,3,3.9,1,103,15,basic,mobile,North,yes,no
L10318,38,60.3,2,2.68,17,8,48.2,5,2.6,0,51,7,free,desktop,West,yes,no
L10319,37,54.1,1,3.25,10,8,51.3,4,7.4,1,98,10,free,mobile,South,yes,yes
L10320,40,100.0,2,4.7,26,5,51.3,1,5.0,2,36,7,basic,desktop,South,yes,no
L10321,34,84.8,0,1.97,21,6,56.2,4,0.5,0,49,0,free,desktop,South,yes,no
L10322,25,56.3,0,7.13,22,7,77.4,2,4.5,1,33,12,free,mobile,South,yes,yes
L10323,57,41.4,2,6.59,21,8,29.1,3,2.7,1,90,2,basic,desktop,West,yes,yes
L10324,35,82.2,2,5.97,19,1,37.5,3,6.3,1,6,1,free,mobile,South,no,yes
L10325,30,80.8,0,1.0,18,8,53.9,3,1.7,1,79,15,premium,mobile,North,no,yes
L10326,35,81.8,1,9.09,25,0,49.8,2,6.8,0,117,0,basic,desktop,East,yes,yes
L10327,42,62.5,5,6.81,18,0,88.6,3,2.2,0,11,10,premium,mobile,West,yes,yes
L10328,32,49.3,1,1.89,26,0,79.4,2,2.4,1,42,2,free,mobile,West,yes,no
L10329,45,40.9,5,7.29,14,3,73.7,2,2.6,0,87,13,premium,desktop,North,yes,no
L10330,32,48.8,3,3.44,19,0,68.5,3,4.5,0,17,0,basic,desktop,North,yes,yes
L10331,24,55.5,3,3.8,18,2,49.4,4,6.0,2,70,2,premium,desktop,South,yes,no
L10332,59,90.2,2,5.06,20,10,83.6,4,2.2,0,51,13,premium,mobile,East,yes,yes
L10333,43,66.4,3,0.89,17,6,61.3,2,1.9,0,54,7,basic,desktop,South,yes,no
L10334,34,62.8,4,2.12,14,5,55.9,2,4.4,0,31,8,basic,desktop,North,no,no
L10335,55,48.5,5,2.67,22,8,61.6,0,3.6,0,45,21,free,desktop,South,yes,yes
L10336,22,53.8,1,5.0,19,6,40.6,1,3.4,1,37,10,premium,mobile,East,yes,yes
L10337,46,38.0,2,0.71,7,0,81.8,2,2.7,0,87,21,basic,tablet,East,yes,no
L10338,37,19.5,0,4.55,18,5,47.7,6,6.8,1,47,13,basic,mobile,West,yes,no
L10339,50,76.5,1,6.91,18,8,42.7,6,1.8,1,110,19,free,desktop,South,no,yes
L10340,21,100.0,4,1.66,14,0,41.6,3,5.4,0,2,5,basic,desktop,North,no,yes
L10341,35,72.7,5,7.6,10,0,43.4,9,5.0,0,103,12,basic,mobile,East,no,yes
L10342,55,64.2,2,9.15,12,1,75.8,4,2.4,3,8,16,free,mobile,North,yes,no
L10343,55,51.3,1,6.61,15,6,41.0,1,7.4,1,5,9,basic,tablet,East,no,no
L10344,49,63.9,2,3.82,16,10,54.6,3,0.9,3,114,9,free,tablet,East,yes,yes
L10345,32,89.0,1,4.62,20,7,36.0,5,4.0,0,76,1,free,mobile,West,yes,yes
L10346,24,62.6,4,2.24,28,2,97.0,2,4.4,0,117,17,basic,mobile,West,yes,no
L10347,59,63.5,0,6.84,23,9,57.1,2,0.0,0,77,19,free,desktop,West,yes,yes
L10348,26,58.6,5,9.04,21,0,25.6,0,0.0,0,58,13,free,desktop,North,no,no
L10349,51,46.3,1,1.51,20,6,35.5,5,2.7,3,98,13,free,desktop,East,yes,no
L10350,33,33.8,0,2.25,20,10,80.1,2,5.9,2,22,18,free,mobile,East,yes,yes
L10351,17,64.1,0,6.12,13,9,43.7,0,4.9,1,52,14,free,tablet,West,no,no
L10352,44,43.0,5,5.82,23,8,69.4,1,4.6,2,69,19,basic,mobile,East,no,no
L10353,45,62.7,0,2.18,19,3,80.4,0,3.8,1,21,3,free,mobile,East,yes,no
L10354,36,60.9,2,10.22,17,10,49.9,1,3.1,1,38,21,free,mobile,East,yes,no
L10355,18,84.3,2,8.4,15,7,100.0,1,2.1,1,15,6,basic,desktop,South,yes,yes
L10356,33,71.4,2,2.44,19,1,92.9,2,2.7,0,119,7,premium,mobile,East,yes,no
L10357,55,79.0,5,2.16,22,2,78.8,4,8.5,1,22,21,basic,desktop,South,yes,yes
L10358,44,58.2,3,11.94,14,6,26.8,5,4.4,2,92,20,free,mobile,North,yes,no
L10359,44,69.4,2,7.2,14,7,73.8,2,5.3,0,94,5,free,desktop,East,no,no
L10360,41,77.2,0,2.23,19,2,34.2,2,9.0,0,7,8,basic,mobile,North,yes,no
L10361,45,75.5,3,2.14,13,6,52.7,1,2.6,3,95,15,free,desktop,West,yes,yes
L10362,55,71.3,0,3.94,17,6,75.9,0,1.3,2,97,23,premium,mobile,East,yes,yes
L10363,18,73.4,5,2.69,20,8,73.8,3,6.0,1,32,1,basic,desktop,North,yes,yes
L10364,53,82.6,3,1.81,13,6,22.5,2,1.2,0,70,19,free,mobile,North,yes,yes
L10365,43,83.3,4,1.5,22,3,43.1,1,4.5,2,25,13,basic,mobile,East,yes,no
L10366,19,41.1,0,4.22,27,7,59.0,5,3.0,2,38,3,free,mobile,North,yes,no
L10367,43,84.1,4,4.93,17,9,51.7,2,5.2,1,32,7,basic,mobile,South,no,yes
L10368,58,57.5,1,7.11,18,1,44.8,1,3.3,2,77,9,premium,mobile,North,no,no
L10369,18,90.9,1,2.4,17,5,57.9,4,4.7,0,57,12,basic,mobile,East,yes,no
L10370,58,48.6,4,1.76,22,3,56.6,2,7.8,0,40,17,free,desktop,North,no,no
L10371,56,72.3,0,8.74,19,1,68.4,4,5.8,0,17,22,free,mobile,South,yes,no
L10372,53,92.6,2,3.38,20,6,77.0,2,1.9,0,74,3,free,mobile,East,yes,no
L10373,19,93.8,3,6.9,16,0,55.6,3,0.1,1,50,21,basic,mobile,North,yes,no
L10374,54,74.6,0,2.87,9,3,63.0,3,3.0,0,21,9,free,tablet,South,yes,no
L10375,50,68.4,4,6.72,21,10,59.8,4,4.7,1,9,2,basic,desktop,North,yes,yes
L10376,56,78.1,3,8.36,19,3,59.5,0,3.4,0,109,17,basic,desktop,West,no,no
L10377,27,64.9,3,2.53,13,1,40.0,6,0.0,0,100,0,free,mobile,East,yes,no
L10378,54,60.8,0,10.01,20,6,43.8,5,9.1,1,9,12,free,desktop,North,yes,no
L10379,56,83.5,3,12.33,23,5,53.9,2,5.3,0,108,1,premium,mobile,North,yes,yes
L10380,59,63.9,4,4.68,17,8,71.8,3,5.9,1,90,1,free,mobile,North,yes,no
L10381,48,82.8,0,3.09,17,5,47.5,3,3.2,0,35,5,basic,desktop,East,no,yes
L10382,56,50.1,3,2.53,25,1,67.7,4,2.8,0,58,23,free,mobile,East,yes,no
L10383,37,71.8,3,1.05,17,4,52.6,3,5.8,0,6,10,free,mobile,East,yes,yes
L10384,34,45.3,5,2.75,20,6,58.8,3,5.3,0,107,17,free,mobile,East,yes,yes
L10385,47,68.5,5,1.39,19,7,44.1,3,5.4,0,63,6,free,tablet,East,yes,no
L10386,56,72.8,1,1.56,16,4,69.4,5,8.0,2,5,10,free,mobile,North,yes,yes
L10387,37,93.3,1,3.38,15,3,52.9,3,3.9,0,90,13,free,mobile,North,no,no
L10388,30,65.6,2,1.63,20,8,76.2,2,1.9,0,86,3,free,mobile,North,yes,no
L10389,38,31.8,3,2.65,21,10,31.5,4,4.4,0,41,7,free,mobile,North,yes,no
L10390,23,71.3,1,2.03,17,8,47.1,2,3.6,0,115,20,premium,mobile,North,yes,yes
L10391,45,64.9,4,4.35,15,6,0.0,2,5.9,1,1,9,basic,desktop,East,no,yes
L10392,18,38.0,2,8.12,14,6,52.6,3,6.5,0,23,19,free,desktop,West,yes,no
L10393,23,59.9,1,9.93,10,6,48.6,3,2.8,2,25,10,premium,desktop,South,yes,yes
L10394,43,55.1,4,4.87,16,1,34.3,1,2.5,1,61,15,basic,desktop,West,yes,no
L10395,46,68.0,3,4.54,18,8,48.3,5,3.8,1,82,21,free,tablet,North,no,no
L10396,36,45.8,1,2.84,17,10,50.7,1,8.1,0,99,11,free,desktop,East,yes,no
L10397,28,74.9,4,2.87,16,9,48.1,4,0.5,2,80,23,free,mobile,West,yes,no
L10398,47,84.3,5,3.32,15,7,52.4,3,3.9,2,33,5,basic,desktop,West,no,yes
L10399,47,71.4,5,2.79,18,1,43.1,3,6.8,0,37,6,premium,desktop,East,yes,no
L10400,18,82.7,1,4.48,19,3,52.1,1,4.4,0,86,9,free,desktop,South,yes,no
L10401,21,81.9,3,5.57,13,5,53.9,3,6.0,3,41,3,free,mobile,West,yes,yes
L10402,18,63.1,0,3.19,21,0,27.9,0,2.6,1,20,7,free,mobile,North,yes,no
L10403,33,82.5,3,9.96,14,10,49.1,5,4.7,2,50,2,free,mobile,East,yes,yes
L10404,58,76.1,3,2.88,35,6,47.9,4,6.0,4,48,23,free,mobile,South,no,yes
L10405,22,43.8,3,4.69,22,6,72.5,2,3.7,1,89,14,free,mobile,North,yes,no
L10406,50,44.0,0,2.05,20,9,58.2,4,6.4,2,101,20,basic,mobile,West,yes,no
L10407,30,44.4,3,1.86,13,0,79.9,2,7.3,0,5,4,premium,mobile,West,yes,no
L10408,24,56.9,0,9.13,22,9,55.2,4,8.1,1,74,17,basic,mobile,West,yes,yes
L10409,44,71.9,1,1.28,13,2,28.3,2,6.1,1,78,13,basic,tablet,South,no,no
L10410,51,55.5,0,4.39,17,2,40.0,4,0.9,0,30,9,free,mobile,North,yes,no
L10411,33,65.7,1,5.75,12,7,27.9,3,3.2,0,66,10,free,mobile,East,yes,yes
L10412,44,67.0,3,12.01,11,0,33.9,2,5.8,2,102,7,premium,desktop,South,no,no
L10413,25,46.5,4,16.07,18,9,76.7,2,4.9,0,63,18,premium,tablet,East,yes,yes
L10414,40,47.7,2,2.71,14,6,51.3,1,4.3,2,21,13,premium,mobile,West,yes,no
L10415,49,57.1,0,4.51,15,7,48.3,4,4.6,2,47,8,free,desktop,West,yes,no
L10416,59,61.5,1,4.66,18,10,49.4,3,2.5,0,119,2,basic,mobile,West,yes,yes
L10417,38,47.0,4,3.77,14,0,37.4,0,2.1,3,117,11,basic,desktop,West,yes,no
L10418,58,62.1,3,3.35,17,7,80.7,2,2.5,0,111,22,free,desktop,West,no,no
L10419,47,52.7,1,0.39,25,3,78.1,3,6.1,1,52,20,premium,desktop,North,yes,no
L10420,47,52.9,3,1.6,24,7,55.1,4,5.1,1,112,23,basic,mobile,North,yes,yes
L10421,41,35.4,5,0.63,19,3,44.6,4,1.9,0,63,7,basic,desktop,South,yes,no
L10422,21,44.8,2,2.81,19,1,30.7,2,6.2,0,109,7,free,desktop,East,yes,no
L10423,20,70.7,1,6.61,11,10,55.6,1,3.9,1,6,17,free,desktop,South,yes,yes
L10424,31,79.3,3,5.38,13,1,78.2,5,5.6,1,53,8,premium,desktop,West,yes,no
L10425,33,58.2,5,5.38,16,4,48.5,0,5.1,1,113,3,free,mobile,South,no,no
L10426,34,67.7,5,0.44,13,2,57.5,4,0.9,0,97,17,basic,mobile,East,no,no
L10427,24,57.7,4,3.55,18,9,60.9,5,0.0,1,38,18,free,mobile,South,yes,yes
L10428,56,66.1,3,4.62,10,6,40.3,4,0.2,1,103,10,free,tablet,East,yes,no
L10429,50,72.3,1,0.68,19,1,91.5,3,3.8,0,4,20,free,desktop,South,yes,no
L10430,58,65.5,4,7.18,23,0,85.0,1,3.3,0,1,1,free,,East,no,no
L10431,33,68.1,1,3.54,16,10,67.6,3,5.2,1,61,14,basic,mobile,East,yes,no
L10432,27,51.5,0,4.87,20,8,15.0,0,4.8,1,1,3,free,mobile,North,yes,yes
L10433,23,57.4,0,5.0,15,4,46.4,6,2.0,0,12,10,free,desktop,North,no,no
L10434,38,59.8,3,4.02,16,8,33.3,2,1.4,1,95,0,free,mobile,North,yes,yes
L10435,45,41.8,3,5.72,27,9,82.8,3,2.9,1,103,10,premium,desktop,East,yes,yes
L10436,36,74.7,3,2.22,19,0,59.2,1,4.8,0,100,5,free,mobile,North,yes,yes
L10437,53,74.1,1,2.3,18,3,54.4,2,5.5,0,87,5,free,desktop,East,yes,no
L10438,48,74.5,5,5.09,15,10,58.3,0,4.3,0,60,17,free,mobile,South,yes,yes
L10439,56,55.1,4,12.77,21,8,75.6,4,10.0,0,91,17,premium,mobile,South,yes,yes
L10440,58,53.8,0,3.41,13,1,8.1,1,4.0,1,34,9,free,mobile,South,yes,no
L10441,30,59.3,5,4.81,23,1,71.3,4,3.0,0,71,3,basic,desktop,North,yes,yes
L10442,32,41.1,0,5.8,14,6,83.3,5,3.1,2,80,10,free,desktop,East,yes,no
L10443,57,63.5,4,1.35,20,8,53.3,4,0.6,0,115,14,free,mobile,West,yes,no
L10444,27,54.3,2,7.07,27,6,59.4,1,3.8,0,83,23,premium,desktop,South,yes,no
L10445,53,67.8,5,4.36,17,2,54.4,5,4.3,0,39,19,free,desktop,South,no,no
L10446,41,54.6,3,0.59,24,3,43.0,4,0.0,0,75,10,basic,mobile,East,yes,no
L10447,19,45.5,1,4.7,13,2,28.6,2,6.6,0,96,21,premium,desktop,North,yes,yes
L10448,49,81.6,1,1.49,21,0,68.9,2,4.9,0,5,1,premium,mobile,North,yes,no
L10449,22,77.5,5,10.1,21,3,,2,5.3,1,84,14,free,mobile,West,yes,no
L10450,47,44.4,3,1.33,16,1,67.0,1,5.6,2,109,23,basic,desktop,North,yes,no
L10451,29,64.4,0,1.83,13,1,39.4,5,4.9,1,23,7,premium,mobile,West,yes,yes
L10452,41,65.5,2,4.58,22,8,75.4,2,3.6,1,23,2,premium,desktop,East,yes,yes
L10453,49,65.4,2,5.36,23,7,53.2,4,4.3,0,82,19,basic,desktop,South,yes,yes
L10454,31,66.0,1,4.09,19,2,52.1,3,3.2,1,60,2,basic,mobile,West,yes,no
L10455,20,55.4,0,2.46,20,8,84.8,1,5.8,1,31,23,premium,mobile,East,yes,yes
L10456,29,54.3,2,1.81,24,6,91.8,4,3.8,3,31,23,free,mobile,West,yes,yes
L10457,21,49.3,1,6.33,10,4,95.2,3,3.6,1,84,21,free,desktop,East,yes,no
L10458,17,52.2,5,1.81,18,2,53.0,1,8.1,1,119,21,basic,mobile,North,yes,no
L10459,56,48.2,5,8.8,17,0,84.1,1,6.0,1,87,19,basic,desktop,North,yes,yes
L10460,57,86.4,2,9.31,12,1,63.1,6,6.5,0,95,23,premium,desktop,North,yes,yes
L10461,54,64.4,0,4.02,14,8,36.3,0,4.3,3,57,19,free,mobile,North,yes,yes
L10462,19,56.3,3,3.99,20,10,28.3,2,3.5,0,69,12,premium,mobile,East,yes,yes
L10463,38,89.8,2,1.77,19,3,42.9,3,3.0,1,96,5,premium,tablet,West,yes,no
L10464,43,54.5,3,1.77,18,10,56.5,6,6.2,2,106,17,free,tablet,East,no,yes
L10465,18,65.0,0,7.13,19,10,38.4,2,5.3,0,84,10,free,desktop,West,yes,no
L10466,42,82.7,2,3.27,25,10,68.3,3,3.1,2,56,5,basic,desktop,West,yes,yes
L10467,35,78.0,3,1.83,14,8,53.8,1,0.0,1,34,13,free,tablet,West,yes,no
L10468,22,46.6,4,5.02,15,10,92.4,2,4.5,0,91,9,premium,mobile,West,yes,yes
L10469,20,72.8,5,4.7,21,1,96.0,3,6.8,2,8,17,free,desktop,South,no,no
L10470,44,83.2,2,2.56,10,3,46.9,2,0.0,1,27,17,premium,mobile,West,yes,no
L10471,19,71.4,1,8.9,13,1,38.8,4,6.5,2,46,22,basic,desktop,East,no,no
L10472,31,68.9,0,4.12,15,1,39.4,7,3.1,1,12,8,premium,mobile,South,yes,no
L10473,48,63.8,0,1.94,19,8,26.5,6,2.4,1,106,0,basic,mobile,North,yes,yes
L10474,56,78.4,1,0.8,17,5,55.1,1,1.8,2,91,15,premium,mobile,North,yes,yes
L10475,37,54.2,0,7.82,15,3,70.8,6,6.1,3,95,1,free,desktop,West,yes,yes
L10476,50,64.3,4,3.47,17,8,79.7,4,5.3,3,71,15,premium,mobile,North,yes,yes
L10477,23,58.9,1,5.17,15,2,55.4,3,5.2,2,20,10,free,mobile,South,yes,no
L10478,56,83.4,4,0.31,13,4,59.6,3,3.4,0,76,1,free,mobile,North,yes,no
L10479,50,72.7,5,4.97,25,1,53.9,4,5.2,0,40,0,basic,mobile,West,no,yes
L10480,45,74.5,4,10.89,23,6,56.4,3,3.5,2,94,20,free,mobile,North,yes,yes
L10481,59,58.5,5,3.23,17,3,71.8,4,5.9,2,8,21,basic,mobile,North,yes,yes
L10482,24,32.8,0,2.5,13,10,66.2,10,4.3,1,5,5,free,desktop,South,yes,no
L10483,48,48.0,4,2.49,13,0,83.8,2,0.1,1,2,5,basic,desktop,North,yes,no
L10484,33,61.0,5,4.8,10,2,53.7,3,8.6,1,71,12,free,desktop,South,yes,no
L10485,52,70.6,0,5.97,19,7,52.3,3,0.4,1,7,17,free,mobile,West,yes,no
L10486,23,66.7,2,2.87,8,3,33.4,0,3.8,0,40,10,free,desktop,West,yes,no
L10487,32,73.6,4,3.24,18,5,61.1,2,3.6,1,88,23,free,desktop,North,yes,yes
L10488,45,96.9,5,2.77,15,1,41.2,3,4.6,0,12,17,free,desktop,East,yes,no
L10489,44,61.8,3,2.5,19,8,69.1,3,6.6,0,71,22,basic,desktop,South,yes,yes
L10490,59,42.1,2,14.06,18,5,15.0,4,3.4,2,79,8,free,desktop,North,yes,yes
L10491,24,61.6,0,5.04,19,3,12.5,2,3.5,1,110,2,basic,tablet,South,yes,no
L10492,37,66.3,4,1.57,24,0,79.0,6,5.2,0,28,18,free,desktop,West,yes,yes
L10493,33,55.3,1,2.19,24,7,69.7,1,4.9,0,78,20,free,mobile,West,yes,yes
L10494,51,84.8,5,1.5,18,10,76.2,1,3.6,1,21,0,basic,desktop,East,yes,yes
L10495,28,67.6,3,5.85,15,0,60.4,2,2.0,3,67,21,basic,desktop,North,yes,no
L10496,32,60.2,5,6.98,17,6,20.7,6,8.4,1,16,23,free,desktop,North,yes,no
L10497,39,72.3,2,4.69,15,9,27.3,2,7.5,1,98,22,basic,desktop,West,yes,yes
L10498,34,76.6,0,1.35,16,4,58.4,4,5.6,0,44,3,premium,mobile,South,yes,no
L10499,30,60.7,0,5.95,11,6,32.5,1,2.8,1,60,3,premium,tablet,South,no,no
L10500,24,61.6,0,0.84,22,2,56.5,4,2.0,2,6,14,free,desktop,South,yes,no
L10501,41,60.2,0,9.47,14,0,44.9,7,4.8,0,29,14,basic,desktop,West,yes,no
L10502,18,83.4,2,1.54,20,0,57.4,4,1.6,1,114,12,free,mobile,North,no,no
L10503,29,71.0,5,1.35,18,7,43.7,3,5.7,0,76,22,free,tablet,East,yes,no
L10504,53,44.4,3,7.26,18,8,71.8,2,5.8,1,32,17,free,mobile,North,no,yes
L10505,39,55.6,2,1.92,14,1,51.3,3,0.0,0,6,13,basic,desktop,North,yes,no
L10506,51,67.4,4,0.54,20,2,75.3,3,6.1,1,22,7,premium,mobile,East,yes,no
L10507,37,47.5,2,4.8,15,10,91.0,3,0.6,0,40,13,premium,desktop,North,yes,yes
L10508,28,50.2,3,5.75,12,2,57.0,5,,0,95,4,free,mobile,North,yes,no
L10509,38,61.4,4,7.46,23,9,60.6,3,4.4,4,23,13,free,tablet,North,yes,no
L10510,45,57.3,2,3.25,16,4,71.2,3,6.5,0,5,15,free,desktop,South,yes,yes
L10511,41,48.2,0,4.75,21,7,69.5,3,6.0,1,107,4,free,desktop,East,yes,no
L10512,53,97.6,4,7.09,16,1,67.0,4,4.7,1,24,10,free,desktop,West,yes,yes
L10513,38,46.6,5,3.19,18,4,82.4,4,0.0,1,101,11,free,desktop,North,yes,yes
L10514,39,47.3,3,3.62,16,4,90.0,5,4.8,2,52,7,free,mobile,West,yes,yes
L10515,34,73.5,4,3.92,18,0,46.6,3,3.4,0,92,7,basic,mobile,South,yes,no
L10516,47,82.0,1,8.4,20,8,60.1,5,1.5,0,53,22,basic,desktop,East,yes,no
L10517,24,88.0,1,1.41,11,2,79.6,2,6.9,1,33,20,free,mobile,East,yes,no
L10518,22,65.4,3,3.61,20,10,82.5,2,4.7,1,80,9,free,desktop,North,yes,yes
L10519,51,75.7,4,2.37,24,7,55.6,1,1.2,1,88,2,premium,mobile,West,yes,yes
L10520,35,65.0,1,7.38,20,5,70.6,2,2.7,2,95,17,free,desktop,West,yes,no
L10521,44,69.6,2,12.46,16,9,54.2,2,6.7,1,5,6,basic,mobile,North,yes,yes
L10522,42,73.0,1,1.89,17,8,30.1,8,3.7,0,4,1,basic,desktop,West,yes,yes
L10523,58,58.9,1,1.04,19,7,36.4,7,6.8,2,65,21,free,mobile,West,yes,no
L10524,19,66.3,5,5.0,15,2,79.5,6,4.6,1,45,15,free,mobile,North,yes,no
L10525,21,67.5,5,2.3,19,9,75.7,2,7.3,0,36,23,free,tablet,South,yes,no
L10526,36,73.8,5,8.81,20,7,35.8,1,3.3,0,14,7,premium,mobile,West,yes,yes
L10527,36,54.6,4,12.62,21,3,27.1,3,4.6,0,73,0,basic,mobile,West,yes,yes
L10528,49,64.8,2,0.84,16,3,49.3,4,5.4,1,44,1,free,desktop,North,yes,yes
L10529,46,59.2,3,6.83,18,8,31.3,5,4.7,1,39,20,free,desktop,South,yes,yes
L10530,20,36.5,2,7.14,20,1,88.7,2,6.8,2,51,12,basic,desktop,East,yes,yes
L10531,39,60.9,0,2.16,11,0,40.2,4,1.4,0,10,8,free,tablet,North,yes,no
L10532,34,65.4,1,2.68,12,4,70.4,3,2.5,0,48,19,free,desktop,East,no,no
L10533,50,57.2,4,2.13,24,1,26.8,3,4.4,1,4,8,free,mobile,West,yes,no
L10534,50,52.9,0,5.45,14,2,35.3,3,2.0,0,49,22,premium,mobile,West,yes,no
L10535,57,89.3,0,6.04,14,0,70.1,0,5.8,1,41,20,free,mobile,East,yes,yes
L10536,25,58.0,4,3.98,11,2,77.6,3,2.4,0,65,11,free,mobile,North,yes,no
L10537,28,58.1,3,1.45,15,5,66.4,3,3.7,2,91,22,premium,mobile,North,yes,no
L10538,37,38.5,4,6.59,18,9,66.9,4,6.0,0,104,18,basic,tablet,North,yes,yes
L10539,36,65.9,1,4.26,10,0,46.6,2,3.1,0,32,8,premium,desktop,North,no,no
L10540,32,49.4,3,3.98,13,5,65.7,3,4.0,1,46,11,premium,desktop,South,yes,no
L10541,50,50.3,1,2.21,14,7,44.4,1,0.9,0,29,10,premium,tablet,East,yes,no
L10542,58,63.5,4,0.43,20,2,60.0,3,3.6,1,104,7,basic,mobile,North,no,yes
L10543,50,76.5,2,0.12,22,5,25.9,5,4.2,0,31,13,basic,desktop,East,no,no
L10544,40,66.5,4,5.65,17,2,24.7,2,3.6,2,38,18,basic,desktop,North,yes,no
L10545,32,76.4,0,3.66,16,8,15.9,2,0.0,0,30,12,basic,mobile,North,yes,no
L10546,58,56.2,0,0.72,22,1,58.2,3,5.6,1,31,10,premium,mobile,East,yes,yes
L10547,54,51.6,0,4.78,16,1,47.2,5,4.1,2,38,13,free,mobile,East,yes,no
L10548,46,38.2,1,1.7,21,3,13.1,2,6.6,1,99,7,basic,desktop,North,yes,no
L10549,50,84.6,5,3.35,23,7,42.3,5,4.0,1,56,16,premium,desktop,North,yes,yes
L10550,52,76.8,1,2.81,12,9,40.1,6,3.1,1,28,2,free,mobile,North,yes,yes
L10551,26,62.8,4,2.02,24,3,93.7,0,4.6,1,28,18,free,mobile,North,no,yes
L10552,55,59.7,0,2.44,20,8,50.8,3,3.0,0,64,13,free,tablet,West,yes,no
L10553,19,82.1,0,0.83,16,5,68.3,2,2.1,0,55,18,free,mobile,South,yes,yes
L10554,54,67.3,2,3.91,16,4,100.0,2,,4,119,23,free,desktop,East,yes,no
L10555,25,35.9,5,11.52,12,9,40.3,3,4.6,0,49,4,free,mobile,East,yes,yes
L10556,50,57.0,4,7.44,11,7,57.5,3,2.5,0,46,8,premium,mobile,South,yes,yes
